"","s__Eubacterium_eligens","s__Bacteroides_faecis","s__Eggerthella_unclassified","s__Coprobacillus_unclassified","s__Lachnospiraceae_bacterium_3_1_46FAA","s__Alistipes_senegalensis","s__Megasphaera_elsdenii","s__Clostridium_perfringens","s__Clostridium_ramosum","s__Prevotella_bivia","s__Erysipelotrichaceae_bacterium_2_2_44A","s__Lachnospiraceae_bacterium_3_1_57FAA_CT1","s__Eubacterium_limosum"
"s2015",0,0.01948,0.07946,0.09471,0.00147,0,0,0,0.05379,0,0.00116,0,0
"s2050",0,0,0.00140001,0.1635915,0,0,0,0,0.0515805,0,0,0,0
"s3013",0.2406021,0,0.1490951,0.00107729,0.0153331,0.0299131,0,0,0,0,0,0.00767701,0
"s3016",0.0170103,0,0.0312905,0.8671527,0.0795512,0,0,0,0,0,0,0.0538008,0.00348005
"s3029",0,0,0.00775704,0,0.0149437,0,0,0,0,0,0,0,0
"s4001",0.00316,0.03756,0.00301,0,0.01006,0.04775,0.1505899,0,0,0,0,0,0
"s4005",0,0,0.08299,0.12169,0,0,0,0,0.03613,0,5e-04,0,0
"s4007",0,0,0.9365584,2.1241785,0.0263633,0,0,0,0.3194904,0,0.00826104,0,0.0605977
"s4016",1.451726,0,0.1084742,0.0695327,0.00103004,0,0,0,0.0375815,0,0.000310012,0.00591023,0
"s6017",0,0,0.1091572,0.3603237,0.0030402,0,0,0,0.0398726,0,0,0.0128908,0.00734048
"s7005",0.03716,0,0.04109,0.0076,0,0,0,0,0,0,0.00361,0,0
"s7011",0,0,0.01386,0.03421,0.00381,0,0,0,0.00454,0,0.00023,0.00471,0.00056
"s7039",0.0217119,0,0.0486943,0,0,0,0,0,0,0,0,0.0134212,0
"s7041",0.02893,0,0.00809,0,0,0,0,0,0,0,0,0,0
"s7064",0,0,0.00895,0,0.00505,0.2937101,0,0,0,0,0,0,0
"s7071",0,0,0.01036,0.01056,0,0.03106,0,0,0.00306,0,0.00034,0,0
"s2003",0.1721924,0.000630045,0,0,0.00800058,0.00982071,0,0.0097907,0,0,0,0,0
"s2017",0.1969421,0.000460005,0,0,0.00352004,0.0395704,0,0.0535606,0,0.00343004,0,0,0
"s2023",0,0.0545801,0.00148,0.000710002,0.0564402,0,0.00368001,0,0,0.00326001,0,0,0
"s3037",0.3938801,0,0.0175562,0,0.00232083,0.0036413,0,0,0,0,0,0,0
"s4018",0.3164256,0.50172,0.00903386,0,0.0916607,0.00341524,0,0.00252387,0,0,0,0,0
"s4028",0,0,0,0,0.0648059,0,0.5431129,0.0419603,0,0.0525128,0.000330081,0,0
"s5014",0.6267723,2.3260336,0.0250171,0,0.0707843,0.435879,0,0,0,0,0,0,0
"s6011",0.3353418,0,0.0397626,0,0.0886258,0.00263017,0,0,0,0.0016001,0,0,0
"s6016",0.0147,0.4242,0,0,0.36967,0.36177,0.39875,0,0,0,0,0,0
"s7012",1.0392804,0,0.03962,0.06029,0.04719,0,0,0,0.0105,0,0,0.00394,0
"s7025",0.0642738,0.0119807,0.3501105,0,0.0399923,0.1224772,0.1171369,0,0,0,0,0,0
"s7033",0.3208701,0.18126,0.03635,0,0.02475,0.3587201,0,0,0,0,0,0,0
"s7065",0,0,0.000470069,0.0670898,0,0,0,0,0.020383,0,0,0,0
"s7067",0,0,0.23289,0.6336099,0,0,0.01138,0,0,0,0,0,0
"s2006",0.1914283,0.2291459,0,0,0.1127915,0.0132182,0.0124354,0,0,0,0,0,0
"s2007",0.0656,0,0,0,0.00194,0.00529,0,0,0,0,0,0,0
